127.0.0.1 - - [10/Mar/2022:14:32:26 +0900] "GET / HTTP/1.1" 200 28716
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:32:35 +0900] "GET /resources/json2.js HTTP/1.1" 200 17385
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:32:36 +0900] "GET /resources/jqueryui/1.8/themes/base/images/ui-bg_glass_75_dadada_1x400.png HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:32:41 +0900] "GET /mapping/path HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:32:42 +0900] "GET /mapping/path/wildcard HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:32:44 +0900] "GET /mapping/header HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:32:48 +0900] "GET /mapping/produces.xml HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:32:49 +0900] "GET /mapping/produces.json HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:32:52 +0900] "GET /mapping/produces HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:32:54 +0900] "GET /mapping/produces HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:32:57 +0900] "GET /form HTTP/1.1" 200 3008
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:33:06 +0900] "GET /fileupload HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:33:57 +0900] "GET /fileupload HTTP/1.1" 200 1003
